name,salary_from,salary_to,salary_currency,area_name,published_at
Руководитель проекта в офис,80000.0,,RUR,Новосибирск,2022-12-20T07:22:38+0300
Программист 1C,50000.0,100000.0,RUR,Минусинск,2022-12-20T05:51:53+0300
Software Project Manager,1500.0,2000.0,USD,США,2022-12-20T06:07:52+0300
Оператор фрезерного и лазерного станка с ЧПУ,200000.0,,KZT,Алматы,2022-12-20T07:07:08+0300
Дизайнер,40000.0,50000.0,RUR,Красноярск,2022-12-20T07:22:49+0300
Программист Python,,,,Новосибирск,2022-12-20T05:22:23+0300
Механик,150000.0,,RUR,Красноярск,2022-12-20T05:23:36+0300
Программист 1C,50000.0,100000.0,RUR,Назарово,2022-12-20T05:52:48+0300
Программист 1С,1000.0,,USD,Бишкек,2022-12-20T07:51:03+0300
Системный администратор,,,,Кемерово,2022-12-20T05:19:16+0300
Программист 1C,60000.0,100000.0,RUR,Красноярск,2022-12-20T05:48:07+0300
Программист С++/Qt,,97825.0,RUR,Челябинск,2022-12-20T07:55:13+0300
Механик (грузоперевозки),120000.0,120000.0,RUR,Новокузнецк,2022-12-20T07:29:24+0300
Front-End разработчик,230000.0,,RUR,Москва,2022-12-20T06:29:06+0300
Контрольный механик в таксопарк,20000.0,26000.0,RUR,Омск,2022-12-20T07:22:00+0300
Главный механик,50000.0,,RUR,Ульяновск,2022-12-20T07:48:51+0300
Аналитик проектов,50000.0,50000.0,RUR,Иркутск,2022-12-20T05:11:22+0300
Техник по комплексному обслуживанию и ремонту зданий,60000.0,,RUR,Новосибирск,2022-12-20T04:55:00+0300
Арт-менеджер,80460.0,91954.0,RUR,Южно-Сахалинск,2022-12-20T04:24:44+0300
Токарь-расточник,90000.0,,RUR,Екатеринбург,2022-12-20T06:37:12+0300
C/C++ разработчик,100000.0,,RUR,Ростов-на-Дону,2022-12-20T07:09:49+0300
3D-дизайнер,,,,Алматы,2022-12-20T06:57:52+0300
Менеджер проектов,50000.0,,RUR,Красноярск,2022-12-20T06:07:31+0300
Инженер-электронщик,,,,Барнаул,2022-12-20T06:53:51+0300
Начальник автотранспортной службы,80000.0,80000.0,RUR,Красноярск,2022-12-20T05:17:36+0300
Инженер по ремонту и обслуживанию оборудования,60000.0,,RUR,Краснообск,2022-12-20T05:07:05+0300
Программист микроконтроллеров,,,,Екатеринбург,2022-12-20T07:51:20+0300
Токарь-универсал,120000.0,,RUR,Нижний Новгород,2022-12-20T05:43:11+0300
PHP Веб-программист,,,,Алматы,2022-12-20T07:15:30+0300
Сервисный инженер (спецтехника),,,,Иркутск,2022-12-20T04:42:49+0300
Оператор станков с ЧПУ,75000.0,,RUR,Екатеринбург,2022-12-20T05:14:46+0300
Помощник системного администратора,,30000.0,RUR,Хабаровск,2022-12-20T05:00:02+0300
Фрезеровщик,120000.0,,RUR,Ростов-на-Дону,2022-12-20T05:48:27+0300
Системный администратор,40000.0,,KGS,Бишкек,2022-12-20T06:06:14+0300
Инженер-программист 1 С,50000.0,,RUR,Альметьевск,2022-12-20T07:54:04+0300
Оператор/наладчик фрезерных и токарных станков с ЧПУ,80000.0,120000.0,RUR,Санкт-Петербург,2022-12-20T07:58:07+0300
Администратор проектов,,,,Алматы,2022-12-20T07:38:31+0300
Шлифовщик,125000.0,,RUR,Челябинск,2022-12-20T05:53:32+0300
Инсталлятор / Специалист по подключению абонентов / Монтажник интернет-сетей,54000.0,,RUR,Лесосибирск,2022-12-20T04:51:05+0300
Токарь,40000.0,,RUR,Омск,2022-12-20T05:12:15+0300
Инженер по автоматизированному тестированию (Python),,,,Москва,2022-12-20T07:17:18+0300
Токарь-универсал,120000.0,,RUR,Самара,2022-12-20T05:44:59+0300
IT-специалист (Специалист отдела внедрения),45000.0,,RUR,Екатеринбург,2022-12-20T05:54:25+0300
Программист / Разработчик 1С (Middle),80000.0,,RUR,Нижний Новгород,2022-12-20T07:26:13+0300
1С Программист,1000000.0,,KZT,Алматы,2022-12-20T07:06:36+0300
Программист 1С,50000.0,,RUR,Барнаул,2022-12-20T06:53:14+0300
Оператор в call-центр,20000.0,,KGS,Бишкек,2022-12-20T07:56:10+0300
Младший инженер Linux,70000.0,,RUR,Екатеринбург,2022-12-20T07:36:58+0300
Токарь-универсал,120000.0,,RUR,Уфа,2022-12-20T05:44:59+0300
Middle Web-Дизайнер,,,,Новосибирск,2022-12-20T07:24:04+0300
Электрик (на производство),50000.0,,RUR,Екатеринбург,2022-12-20T07:08:33+0300
Бизнес-аналитик ЦФТ-Банк,,,,Самара,2022-12-20T05:53:38+0300
Системный администратор,43400.0,,RUR,Магнитогорск,2022-12-20T07:34:32+0300
Младший системный администратор,,,,Алматы,2022-12-20T07:08:50+0300
Системный администратор,,36000.0,RUR,Новосибирск,2022-12-20T05:16:43+0300
Ведущий аналитик,,45750.0,RUR,Екатеринбург,2022-12-20T07:15:22+0300
IT-специалист,50000.0,60000.0,RUR,Уфа,2022-12-20T07:38:18+0300
Ведущий банкир по разработке розничных продуктов и процессов,,,,Астана,2022-12-20T07:33:24+0300
Системный администратор,45000.0,60000.0,RUR,Новосибирск,2022-12-20T07:22:52+0300
Программист 1C,50000.0,100000.0,RUR,Енисейск,2022-12-20T05:50:33+0300
Инженер-программист микроконтроллеров/разработчик IoT-устройств,,,,Новосибирск,2022-12-20T06:10:48+0300
Оператор-наладчик станков с ЧПУ,80000.0,,RUR,Екатеринбург,2022-12-20T07:51:20+0300
Дизайнер,35000.0,45000.0,RUR,Якутск,2022-12-20T07:44:25+0300
Аналитик,,,,Екатеринбург,2022-12-20T07:03:33+0300
Токарь,55000.0,60000.0,RUR,Санкт-Петербург,2022-12-20T06:41:40+0300
Консультант 1C,40000.0,40000.0,RUR,Красноярск,2022-12-20T06:58:44+0300
Стропальщик в цех по производству сэндвич-панелей,25000.0,30000.0,RUR,Артемовский (Свердловская область),2022-12-20T05:52:42+0300
Шлифовщик,125000.0,,RUR,Красноярск,2022-12-20T05:53:32+0300
Зуборезчик,126000.0,130000.0,RUR,Воткинск,2022-12-20T07:40:23+0300
Механик,120000.0,,RUR,Пермь,2022-12-20T07:19:02+0300
DevOps-инженер,,,,Новосибирск,2022-12-20T05:59:00+0300
Управляющий коттеджным поселком,45000.0,,RUR,Самара,2022-12-20T07:08:10+0300
Специалист по монтажу крупной бытовой техники,55000.0,75000.0,RUR,Хабаровск,2022-12-20T06:26:27+0300
Java/Kotlin developer,,,,Москва,2022-12-20T07:16:39+0300
Фрезеровщик,120000.0,,RUR,Ярославль,2022-12-20T05:48:27+0300
Оператор станка с ЧПУ,32000.0,,RUR,Верхнеуральск,2022-12-20T06:27:12+0300
Технический директор,,,,Екатеринбург,2022-12-20T04:51:00+0300
Инженер-программист,45000.0,90000.0,RUR,Альметьевск,2022-12-20T07:56:13+0300
Мастер по обслуживанию кофемашин,35000.0,40000.0,RUR,Новосибирск,2022-12-20T06:37:34+0300
Аналитик бизнес-процессов,28500.0,35000.0,RUR,Новосибирск,2022-12-20T06:56:37+0300
Руководитель отдела разработки программного обеспечения,200000.0,250000.0,RUR,Екатеринбург,2022-12-20T05:34:08+0300
Шлифовщик,46000.0,,RUR,Екатеринбург,2022-12-20T05:38:18+0300
Токарь-универсал,70000.0,,RUR,Екатеринбург,2022-12-20T07:46:08+0300
Оператор деревообрабатывающего станка с ЧПУ (модельщик),50000.0,,RUR,Барнаул,2022-12-20T04:07:55+0300
Руководитель проекта,,150000.0,RUR,Качканар,2022-12-20T07:01:17+0300
Специалист по информационной безопасности,46000.0,,RUR,Каменск-Уральский,2022-12-20T07:36:23+0300
Системный администратор,,,,Новосибирск,2022-12-20T07:52:10+0300
IT-Специалист в Управление технической поддержки ServiceDesk (Сопровождение информационных систем),,,,Алматы,2022-12-20T06:36:15+0300
Токарь,30000.0,,RUR,Троицкое (Алтайский край),2022-12-20T05:17:23+0300
Инженер по наладке и испытаниям,,,,Караганда,2022-12-20T05:07:11+0300
Монтажник систем видеонаблюдения,30000.0,,RUR,Красноярск,2022-12-20T06:07:18+0300
Инженер по КИПиА,,,,Уфа,2022-12-20T07:47:07+0300
Инженер –аналитик качества,,,,Барнаул,2022-12-20T06:00:02+0300
Фрезеровщик,32000.0,60000.0,RUR,Кемерово,2022-12-20T05:36:06+0300
Системный администратор на производство,50000.0,,RUR,Новосибирск,2022-12-20T06:02:16+0300
Копирайтер сценарист,150000.0,200000.0,KZT,Алматы,2022-12-20T07:39:53+0300
Токарь-расточник,70000.0,,RUR,Барнаул,2022-12-20T04:57:28+0300
Шлифовщик,125000.0,,RUR,Нижний Новгород,2022-12-20T05:50:38+0300
Аналитик (АСУТП),,,,Красноярск,2022-12-20T05:21:06+0300
Технический специалист,46000.0,60000.0,RUR,Воронеж,2022-12-20T07:33:00+0300
Токарь,45000.0,75000.0,RUR,Омск,2022-12-20T06:51:02+0300
Инженер по подбору обрудования,,,,Новосибирск,2022-12-20T07:29:31+0300
Инженер-механик по планированию (горно-транспортная техника),120000.0,,RUR,Красноярск,2022-12-20T06:25:39+0300
Слесарь-сборщик РЭА и приборов,40000.0,,RUR,Екатеринбург,2022-12-20T07:51:21+0300
Начинающий техник по подключению абонентов ( инсталлятор),30000.0,,RUR,Нерехта,2022-12-20T07:10:01+0300
Программист (middle),80000.0,,RUR,Екатеринбург,2022-12-20T07:51:20+0300
Шлифовщик сухим способом,50000.0,,RUR,Иркутск,2022-12-20T06:09:17+0300
Монтажник холодильного оборудования,50000.0,100000.0,RUR,Красноярск,2022-12-20T07:38:53+0300
Product manager,400000.0,600000.0,KZT,Астана,2022-12-20T07:14:58+0300
Механик,120000.0,120000.0,RUR,Новосибирск,2022-12-20T07:11:02+0300
